Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
1386,82,16,66,16,66,2023-01-19 02:16:44,2023-01-19 02:19:07,54,0,60466A,Raptors,Rich Township High School,Illinois,United States
1397,82,0,82,0,82,,2023-01-07 19:58:57,0,0,9691B,K.I.D.D.O.,COLLINSVILLE HIGH SCHOOL,Illinois,United States
1426,81,0,81,0,81,,2023-01-14 19:30:13,0,0,499M,Megamind,Mundelein Cons High School,Illinois,United States
1431,80,23,57,23,67,2022-12-08 01:21:44,2023-01-21 15:50:16,0,0,20612B,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
1441,80,12,68,12,68,2023-01-19 02:26:11,2023-01-19 01:39:17,0,1,60466C,Raptors,Rich Township High School,Illinois,United States
1461,79,0,79,0,79,,2023-01-14 20:53:32,0,0,99371H,Chegged,Oak Park & River Forest High School,Illinois,United States
1517,77,0,77,0,77,,2023-01-14 14:46:23,0,0,8995B,Blackout,Metea Valley High School,Illinois,United States
1711,70,13,57,13,57,2023-01-21 16:10:18,2023-01-21 16:23:28,0,0,60441C,Lockport Robotics Team C,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
1733,70,0,70,0,70,,2023-01-14 14:24:45,0,0,8780A,WV Aurum,Waubonsie Valley High School,Illinois,United States
1780,68,16,52,16,52,2022-11-19 19:00:48,2022-11-19 17:17:43,58,0,23880D,TEAM FAILED TO SUBMIT NAME,LYONS TWP HIGH SCH,Illinois,United States
1786,68,16,52,16,52,2022-12-10 19:58:06,2022-12-10 17:52:17,0,0,41870D,Legion,MOUNT VERNON HIGH SCHOOL,Illinois,United States
1818,68,0,68,0,68,,2023-01-19 02:04:16,0,0,20612D,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
1833,67,6,61,6,61,2022-11-05 18:52:53,2022-11-05 18:49:56,37,0,333V,333 V,Niles North 333 Robotics,Illinois,United States
1852,67,0,67,0,67,,2023-01-14 14:39:12,0,0,8780B,WVRC Beta,Waubonsie Valley High School,Illinois,United States
1929,65,0,65,0,65,,2022-11-19 21:49:14,0,0,333T,333T,Niles North 333 Robotics,Illinois,United States
1983,63,16,47,16,47,2023-01-08 17:25:33,2023-01-08 17:28:51,0,0,158C,158C,HUNTLEY HIGH SCHOOL,Illinois,United States
1989,63,13,50,13,50,2022-12-10 19:22:57,2022-12-10 19:25:32,0,0,41870F,The Jackson 5,MOUNT VERNON HIGH SCHOOL,Illinois,United States
2033,62,8,54,8,54,2023-01-14 14:58:26,2023-01-14 14:59:33,32,0,8995M,Meta,Metea Valley High School,Illinois,United States
2042,62,0,62,0,62,,2022-11-20 18:39:08,0,0,17990E,Ethereal,Private,Illinois,United States
2059,62,0,62,0,62,,2023-01-14 18:32:17,0,0,499A,Stromboli Again,Mundelein Cons High School,Illinois,United States
2123,60,6,54,6,54,2023-01-14 20:20:18,2023-01-14 19:34:05,42,0,99371C,Error 404,Oak Park and River Forest High School,Illinois,United States
2166,59,0,59,0,59,,2022-11-19 17:27:41,0,0,80075T,Spare 0's,VON STEUBEN METRO SCIENCE HIGH SCHOOL,Illinois,United States
2214,58,0,58,0,58,,2022-11-19 21:09:17,0,0,60172U,Spring Rolls,Lake Park High School,Illinois,United States
2231,58,0,58,0,58,,2023-01-14 14:48:39,0,0,8780G,WVRC Theta,Waubonsie Valley High School,Illinois,United States
2240,58,0,58,0,58,,2023-01-21 20:15:21,0,0,60441B,Tragedy,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
2310,56,0,56,0,56,,2022-12-08 01:30:31,0,0,20612C,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
2316,56,0,56,0,56,,2023-01-08 19:32:26,0,0,1526B,Hexadecimators,BARTLETT HIGH SCHOOL,Illinois,United States
2356,55,0,55,0,55,,2022-11-19 20:39:34,0,0,80075S,Steampunk Squirrels,Von Steuben Metro Science High School,Illinois,United States
2367,55,0,55,0,55,,2022-12-10 18:25:51,0,0,41870H,The Screw Strippers,MOUNT VERNON HIGH SCHOOL,Illinois,United States
2392,54,13,41,13,42,2022-11-20 19:29:38,2023-01-14 19:06:30,0,0,355X,Hexaforce,Fox Valley Robotics,Illinois,United States
2430,54,0,54,0,54,,2023-01-08 18:03:34,0,0,1526A,Hexadecimators,BARTLETT HIGH SCHOOL,Illinois,United States
2559,52,0,52,0,52,,2023-01-14 14:25:23,0,0,8780F,WVRC Zeta,Waubonsie Valley High School,Illinois,United States
2568,52,0,52,0,52,,2023-01-19 01:25:59,0,0,6410C,Caravan Robotics,MOUNT CARMEL HIGH SCHOOL,Illinois,United States
2590,51,13,38,13,38,2022-11-19 20:33:11,2022-11-19 21:16:26,0,0,80075X,Crime Scene,Von Steuben Metro Science High School,Illinois,United States
2595,51,9,42,9,42,2022-12-10 20:15:12,2022-12-10 19:51:37,0,0,41870G,RoboRams,MOUNT VERNON HIGH SCHOOL,Illinois,United States
2690,49,0,49,0,49,,2023-01-14 19:44:59,0,0,321D,321D,NILES WEST HIGH SCHOOL,Illinois,United States
2745,47,5,42,5,42,2022-12-10 20:07:39,2022-12-10 16:48:00,0,0,41870B,The Shaq's,MOUNT VERNON HIGH SCHOOL,Illinois,United States
2747,47,3,44,3,44,2022-11-19 19:06:36,2022-11-19 17:49:55,0,0,4454A,Chaos Beings,TIMOTHY CHRISTIAN HIGH SCHOOL,Illinois,United States
2770,47,0,47,0,47,,2023-01-14 18:59:33,0,0,499D,Los Ningunos,Mundelein Cons High School,Illinois,United States
2886,43,0,43,0,43,,2023-01-19 01:30:13,0,0,6410M,Caravan Robotics,MOUNT CARMEL HIGH SCHOOL,Illinois,United States
2995,39,0,39,0,39,,2023-01-19 02:32:35,0,0,60466F,Raptors,Rich Township High School,Illinois,United States
3035,37,0,37,0,37,,2022-11-19 17:40:16,0,0,4454B,Cyclops,TIMOTHY CHRISTIAN HIGH SCHOOL,Illinois,United States
3080,36,0,36,0,36,,2023-01-08 17:58:44,0,0,158B,158B,HUNTLEY HIGH SCHOOL,Illinois,United States
3214,31,14,17,14,17,2023-01-08 19:51:05,2023-01-08 20:54:32,0,0,862A,Jaguar Robotics,KING COLLEGE PREP HIGH SCHOOL,Illinois,United States
3252,29,6,23,6,23,2022-12-10 19:41:52,2022-12-10 19:29:27,0,0,41870C,Seal Team Six,MOUNT VERNON HIGH SCHOOL,Illinois,United States
3286,28,5,23,5,23,2022-11-05 19:03:49,2022-11-05 18:55:23,0,0,158A,158A,HUNTLEY HIGH SCHOOL,Illinois,United States
3349,26,0,26,0,26,,2022-11-05 18:52:14,0,0,43946M,Panic at the Disc-o,J Sterling Morton West High School,Illinois,United States
3358,26,0,26,0,26,,2022-11-20 20:02:35,0,0,43946A,The Goal Diggers,J Sterling Morton West High School,Illinois,United States
3387,25,8,17,8,17,2022-11-19 16:47:39,2022-11-19 20:26:55,28,0,80075C,VON,Von Steuben Metro Science High School,Illinois,United States
3413,25,0,25,0,25,,2023-01-14 20:17:27,0,0,38535A,TitanTron,GLENBROOK SOUTH HIGH SCHOOL,Illinois,United States
3417,24,24,0,24,0,2023-01-14 14:56:09,,0,0,8995V,Velocity,Metea Valley High School,Illinois,United States
3429,24,0,24,0,24,,2022-10-29 18:43:34,0,0,60172T,T-TEAM,Lake Park High School,Illinois,United States
3485,22,8,14,8,14,2022-11-05 19:03:13,2022-11-05 18:49:32,43,0,99371B,SourDough,OAK PARK & RIVER FOREST HIGH SCH,Illinois,United States
3507,22,0,22,0,22,,2023-01-07 19:15:53,0,0,9691C,Accordi Bot,COLLINSVILLE HIGH SCHOOL,Illinois,United States
3524,21,0,21,0,21,,2022-11-19 17:54:37,0,0,60466D,Raptors,Rich Township High School,Illinois,United States
3691,16,0,16,0,16,,2023-01-08 19:44:46,0,0,862B,Jaguar Robotics,KING COLLEGE PREP HIGH SCHOOL,Illinois,United States
3862,9,0,9,0,9,,2022-11-20 19:57:05,0,0,3695A,Orion Fox A,YORKVILLE HIGH SCHOOL,Illinois,United States
3910,6,6,0,6,0,2023-01-14 15:01:22,,31,0,8780C,WVRC Cosmic,Waubonsie Valley High School,Illinois,United States
3947,4,0,4,0,4,,2022-10-29 19:34:24,0,0,60172S,LPHSSSSSS,Lake Park High School,Illinois,United States
3952,3,3,0,3,0,2023-01-14 15:00:52,,51,0,8995J,Outlaws,METEA VALLEY HIGH SCHOOL,Illinois,United States
3953,3,3,0,3,0,2023-01-14 19:49:31,,21,0,99371E,return error,Oak Park and River Forest High School,Illinois,United States
