Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
3818,51,13,38,13,42,2022-11-19 20:33:11,2023-02-04 20:08:50,0,0,80075X,Crime Scene,Von Steuben Metro Science High School,Illinois,United States
3822,51,9,42,9,42,2022-12-10 20:15:12,2022-12-10 19:51:37,0,0,41870G,RoboRams,MOUNT VERNON HIGH SCHOOL,Illinois,United States
3919,49,0,49,0,49,,2023-01-14 19:44:59,0,0,321D,321D,NILES WEST HIGH SCHOOL,Illinois,United States
3949,49,0,49,0,49,,2023-02-19 20:19:43,0,0,3069A,Aspect,Aurora Robotics,Illinois,United States
4009,47,0,47,0,47,,2023-01-14 18:59:33,0,0,499D,Los Ningunos,Mundelein Cons High School,Illinois,United States
4034,47,0,47,0,47,,2023-02-25 20:29:16,0,0,99371D,DownBad4VEX,OAK PARK & RIVER FOREST HIGH SCH,Illinois,United States
4041,46,0,46,6,46,2022-12-10 19:41:52,2023-02-18 17:11:43,0,0,41870C,Seal Team Six,MOUNT VERNON HIGH SCHOOL,Illinois,United States
4095,45,13,32,13,35,2023-02-05 19:43:30,2023-02-18 19:57:25,0,0,42460C,Resurrected Robotics,TRIAD HIGH SCHOOL,Illinois,United States
4162,44,0,44,0,44,,2023-02-19 19:00:06,0,0,2365A,Ro-Body Builders,Ro-Body Builders,Illinois,United States
4164,43,43,0,43,0,2023-02-04 21:32:07,,0,0,80075Z,So Fresh,Von Steuben Metro Science High School,Illinois,United States
4237,42,0,42,0,42,,2023-02-19 19:56:47,0,0,60172S,LPHSSSSSS,Lake Park High School,Illinois,United States
4386,36,0,36,0,36,,2023-01-08 17:58:44,0,0,158B,158B,HUNTLEY HIGH SCHOOL,Illinois,United States
4398,36,0,36,0,36,,2023-02-04 20:51:11,0,0,55641A,Bob,WESTINGHOUSE HIGH SCHOOL,Illinois,United States
4412,36,0,36,0,36,,2023-02-19 22:04:23,0,0,8995R,Raiders,Metea Valley High School,Illinois,United States
4427,35,0,35,0,35,,2023-02-19 22:07:12,0,0,7133B,RoboHawks B,NAPERVILLE CENTRAL HIGH SCHOOL,Illinois,United States
4500,33,0,33,0,33,,2023-02-25 18:01:56,0,0,78700S,Stellar,Stellar Robotics,Illinois,United States
4539,32,0,32,0,32,,2023-02-18 18:28:25,0,0,9691E,9691E,Collinsville High School,Illinois,United States
4696,26,0,26,0,26,,2022-11-05 18:52:14,0,0,43946M,Panic at the Disc-o,J Sterling Morton West High School,Illinois,United States
4701,26,0,26,0,26,,2022-11-20 20:02:35,0,0,43946A,The Goal Diggers,J Sterling Morton West High School,Illinois,United States
4737,25,8,17,8,23,2022-11-19 16:47:39,2023-02-04 21:26:47,28,0,80075C,VonAnonymous,Von Steuben Metro Science High School,Illinois,United States
4751,25,0,25,0,25,,2023-01-14 20:17:27,0,0,38535A,TitanTron,GLENBROOK SOUTH HIGH SCHOOL,Illinois,United States
4961,18,0,18,0,18,,2023-02-04 18:50:59,0,0,1965N,Burnout,Adlai E Stevenson High School,Illinois,United States
5018,16,0,16,0,16,,2023-01-08 19:44:46,0,0,862B,Jaguar Robotics,KING COLLEGE PREP HIGH SCHOOL,Illinois,United States
5092,14,0,14,0,14,,2023-02-04 20:36:05,0,0,55641B,Dino,WESTINGHOUSE HIGH SCHOOL,Illinois,United States
5198,9,0,9,0,9,,2022-11-20 19:57:05,0,0,3695A,Orion Fox A,YORKVILLE HIGH SCHOOL,Illinois,United States
5281,6,0,6,0,6,,2023-02-19 20:10:03,0,0,38535B,C3-POE,GLENBROOK SOUTH HIGH SCHOOL,Illinois,United States
5297,3,3,0,3,0,2023-01-14 19:49:31,,21,0,99371E,return error,Oak Park and River Forest High School,Illinois,United States
5302,3,3,0,3,0,2023-02-19 16:45:07,,0,0,8780E,WVRC Epsilon,Waubonsie Valley High School,Illinois,United States
